encuesta,encuestador,sexo,edad,entidad,facultad,turno,tipo_transporte,gasto_transporte,gasto_comida,presupuesto_semana,tiempo_transporte,actividad_transporte,cercania_transporte,numero_transporte,promedio,actividad_extra,tiempo_descanso,ausencia_recursos,fuente_ingresos,frecuencia_retardos,apoyo_transporte,impacto_transporte
42,42,2,21,7,9,2,1,2,2,2,4,2,2,2,3,2,3,2,1,4,1,1
43,42,2,21,17,9,2,3,3,2,1,5,2,1,2,3,1,3,2,1,4,1,1
44,42,1,20,10,9,3,1,1,2,2,3,4,2,2,3,2,4,2,1,3,1,2
45,1,2,21,4,5,3,2,4,2,2,1,3,1,1,3,1,4,2,1,1,3,2
46,42,2,23,4,9,2,1,4,5,4,2,2,1,2,3,2,4,2,1,3,1,2
47,42,2,27,10,9,2,1,2,1,1,3,1,2,3,3,2,4,2,1,4,1,2
48,42,1,28,7,9,3,1,1,2,4,5,1,2,4,3,1,1,1,1,4,1,1
49,42,2,22,6,9,2,3,4,1,3,2,4,2,1,3,1,3,2,1,3,1,1
50,42,1,22,7,9,2,1,2,1,2,3,1,1,2,3,1,3,2,1,4,1,1
51,42,1,23,10,9,2,1,1,4,2,4,3,4,2,3,2,2,2,1,3,1,1
52,42,1,21,4,9,2,1,4,3,1,2,2,1,1,3,2,2,2,1,2,1,1
53,14,2,35,4,2,3,3,1,4,4,2,4,1,3,4,1,2,2,2,2,2,2
54,42,2,20,4,11,2,3,1,5,4,2,1,1,2,2,1,3,1,2,4,1,2
55,14,2,43,5,2,3,2,4,1,2,2,3,1,1,4,1,4,1,2,1,1,2
56,13,2,25,14,4,3,1,1,3,2,3,2,2,3,3,1,3,1,1,2,1,1
57,46,1,23,17,9,1,1,4,1,3,3,3,2,3,3,2,3,2,1,4,1,1
58,13,2,24,13,3,2,3,1,1,2,5,2,1,4,3,2,4,2,1,4,1,1
59,46,2,22,13,9,1,3,4,1,3,4,3,2,4,2,2,2,2,1,4,1,1
60,14,2,30,10,2,3,3,1,2,2,4,2,3,4,3,1,2,1,1,1,1,1
61,46,2,25,17,9,1,3,1,1,3,4,3,1,4,3,2,2,1,1,4,1,1
62,13,2,19,14,6,2,1,2,3,2,3,2,2,3,3,2,2,1,1,3,1,1
63,40,1,20,4,7,2,3,4,1,2,2,1,1,1,3,2,4,2,1,1,1,2
64,46,1,20,4,7,1,3,4,2,2,1,1,1,1,3,2,3,2,1,3,1,2
65,7,1,22,3,1,1,2,4,1,1,2,4,1,1,4,2,4,2,1,2,1,1
66,18,1,20,9,3,2,2,4,1,1,2,1,2,1,3,2,4,2,1,3,1,1
67,13,2,22,10,3,3,1,1,3,2,3,4,1,2,2,2,4,2,1,3,1,1
68,42,2,19,14,7,1,1,4,4,2,3,2,1,2,3,2,3,2,1,4,1,1
69,42,1,22,4,11,3,1,1,5,4,1,3,1,2,2,1,3,2,1,4,1,1
70,13,2,21,10,3,1,1,2,5,2,5,2,2,3,3,2,2,1,2,4,1,1
71,13,1,31,1,6,2,3,2,5,4,5,2,2,3,2,2,2,1,2,4,1,1
72,13,2,24,7,6,2,3,4,2,2,3,3,1,3,3,2,3,1,3,3,1,1
73,13,2,21,7,6,1,1,1,2,2,3,2,1,3,3,2,3,1,1,3,1,1
74,13,1,20,7,6,1,1,2,1,3,3,1,1,2,4,2,3,2,1,4,1,1
75,13,2,27,8,4,3,1,1,3,4,4,3,2,3,3,2,4,2,2,4,1,1
76,13,2,23,1,1,1,3,1,2,2,4,4,2,4,3,2,3,2,1,4,1,1
77,13,1,24,10,1,1,1,1,3,2,3,2,1,3,3,1,1,2,1,4,1,1
78,13,2,22,1,1,2,2,4,4,4,4,1,2,4,2,2,2,2,2,1,1,1
79,13,2,19,1,1,1,3,1,1,2,3,2,1,2,3,2,3,2,1,3,1,1
80,13,1,18,10,1,2,1,2,2,2,3,4,2,4,3,1,1,1,1,4,1,1
81,13,1,23,1,1,1,1,4,2,1,3,2,1,3,2,2,2,1,3,3,4,2
82,13,1,25,7,1,3,3,1,2,2,4,2,1,3,3,2,2,1,1,4,1,2
83,14,1,22,11,3,3,3,4,1,2,3,2,1,1,3,2,4,2,1,1,1,2
